# SHA-256 manifest of all SF2 outputs after v3.5.54 (Phase 19) refactor.
# Generated 2026-05-25. 283/286 files (3 architectural CONV_FAILs:
# Echo_Beat / Crosswords / Magic_Sound).
# Format: <sha256>  <stem>.sf2  <size_bytes>
1013464efdf3a919255cf17d226776ede8d010b60b69b95a29265b318b69bcb1  Aviator_Arcade_II.sf2  44751
3877d8fbbfc4a49c19236dd6121a32bf708fc011dab9945929f67f48cf1930fd  Axel_F.sf2  9509
8f28d80ea6a5b97d5495cbeead984fa0fed7620bab202e0e0d9e44099b29bbfa  Basics.sf2  6497
98c6e6cb428d0120cf21c8451ba9a697818cb054e575f35148a3f3e54a6e3924  Beastie_Boys_Intro_Music.sf2  5537
3539018fbf54d06542aae8fff1913754d9c17785b673ccc472ea027b8e32064f  Beat_the_Shit_3.sf2  9774
754b9b9b2706873df5892db1d4c0e4298937228a77b64244491e081c24233958  Beginning.sf2  33956
42135818ebc0725cfe5dbc9afd3f1aef2bf0240fc4899ee505d60882b017697b  Blow_It_Up.sf2  18252
34bbb1d4808fd0d5d09265e0f89c92182abb3f0e05ba6229a9db34922fa91249  Blue_Blop.sf2  6319
580d26d092ff56cab14d8ca225e7548bbf740de45fd502c5bd1b6ac8d77d124d  Boney.sf2  18908
6ac7a9adb2660339648852a8aa13aeb4b2a432756ec58cb1b0c04806976b3a59  Bossa_Nova.sf2  20501
ef7f3c6c3dbd13372205e6e42658a41b2b5ef364355873523f1c348178c8f4f3  Bountyhunter-Destiny_Now.sf2  61390
5cea1dd5e8bc5eb181cef105bd06129021cc2b30fa643a6fc069066f61e5332e  Break_Free.sf2  22503
549a1d5e2a670baf5ed7857481dc00bdbc689a0fd71b7939793c96417096f216  Bright.sf2  20090
fcd0dc6e310da167cc90e043890a7e8e4023f9b227c6e005c46b4dea82969cbf  Broken_Ass.sf2  51750
4d118c580fd6a8e6ab1c61d025d15ab96fe3dfb96e91715fe1a26ec80809874f  Broom_Tycoon.sf2  6951
bc3bc3a6975ba4493ed6209044a96f4154effa3c3aa535fc2812d975bfdaaf91  Broware.sf2  51977
6e71f93990b9c52aaccaa7dd0b4038be71672f4d4ca16d457abe763130eeacad  C20H25N30.sf2  13901
7630cae6312b31b9c2afe5ed0a8e4f8bd6331154f1f7bf7e17773d3862b9d9e3  Close_to_You.sf2  9748
28204e43b41b3034bda1b3df34e7a5cf8342b364c494f2c024b70db5797f4e89  Cocktail_to_Go_tune_1.sf2  7999
f32f6e9e38e4aa87e6badbe98f8190462af3e8fb4af720cc658a28917bf321ed  Cocktail_to_Go_tune_2.sf2  12000
88c6c1178b7a8688c02597be7e2ae496c4e04ed1e4f68a44eabec40b3166fb84  Cocktail_to_Go_tune_3.sf2  11039
375be31d17978f405fec372cd0899d5b1a12f6e5dc15f9dda8423d18a01aa874  Comic_Sans.sf2  48745
365fc8943f71ae0c8da68ecdf04a9af46cb5e901c04eaeba9ba34dd0a7042765  Commando_Remix.sf2  5968
00813acce8203cc1d56817831c45c3f21e3125b2071585f2261a1d3ee20b8ac6  Complete_2.sf2  8998
db0491f72c87a2fdf71fd9f449c31538bc9352073d8ac2f167821c841628c4ec  Confused_Bossa_at_the_Townhall.sf2  12341
98348129f6b764e27b06b52cf31565c407ef5d04f47422e72255dd431d64c956  Cool_as_Wize_Title.sf2  51491
8ee2b9f68a43d999c6c36e19d3a099ee64c9a50c29e27797e19170cbef0d518f  Cool_Kaffe.sf2  19409
a286c409d10c709d096c874444a5472a7c48a5d6a429907f3a750b6c7e2cfbfb  Coop_6581.sf2  21836
2a2c6c6496ca10ac98efa70c25a8eea140a3394fbffff49117ec92dd679d21a9  Crap_5.sf2  9509
c70e50d00b07d6b004cbb0792c177d29ad279318fef380da78f53db854844c6d  Cyber_Trunk.sf2  13245
be889aa20996894c40b1a37f3e87681f47adc84c71419d003c657d0ac047830d  Dark_Fun.sf2  10956
71d1a604219f512f58b7ca3b2290fa7f922f9e6bb56c75851234a76024bfd0ac  Dead_Iron.sf2  59453
a95134cd15d8ed6fc8a52a3ff5e775f7bf48f81b79919452e2a17bd906017674  Deadly_Sequence.sf2  23514
74d60eb9c231a5035c6de7dbff1965cd3cdfe7820432397bb057d1b55d14033c  Def_Con_One.sf2  27201
aa8c0fd5f3f95330a176fa34b7c4937e97360c808acd8a948afe740f98583c29  Demo_Music.sf2  5279
9ef2e2b903b642f0fc0bd1fb81130f3315138d3dde2ab98f1fd4c59bf983c5ef  Depressed.sf2  7685
b42d6f6ecfb45937c82133ec923ad7995ec4bcf3a8389291599c833ae62c8b65  Digidag.sf2  10140
e5afd2820ed9a035e705fdd4149bff1cd6693ccea8aa4d8ec01bc26a3924ebd7  Dirty_Vaiana.sf2  13178
e9b5733b6cec4f9f706d92b0ae8cc399927ce86af0cf158b9b1077b1663e8e54  Disney_Vignette.sf2  6910
7e1978b15fbe1d3b33b8c21725515792b4c5c80ed142b92313c9d4999e18218b  DNA_Warrior.sf2  9785
e3305b919f570bc901edad59f93e133e344ee6aab10be06017749b6553b3c22f  Driver_11_Test_Arpeggio.sf2  6380
a68f228826f6e46e91aac4cf59dd6474145b4c9967c7a88ff32d386c0fd6e5bd  Driver_11_Test_Filter.sf2  6663
9bf5e07e83a8a8245478d30af8e8ad86551539860ac335e34af75d8ce81f50b8  Driver_11_Test_Polyphonic.sf2  7269
bb0de99ec6f98a675c8c0883839017202d152a3515b52fec4b56bc5ef4dd1b14  Driver_11_Test_Tie_Notes.sf2  6611
9f557effd858ee6f935a9520f92551c2c96745741706f1e913133d9afac5a8a3  Driver_12_Test_The_Barber.sf2  5754
a6db67b2f3cd9c7d0752b1a2af723081e40582462dbe5849e29ff89afcfa0671  Driver_13_Test_Hubbard.sf2  6062
c3ae19413d29ea1567608a6711073d663ef3bcc3a7d85cf2dfc13e2b8bae9a1f  Driver_14_Test_Heavy.sf2  7099
0734bf29cc864db6aa3d21bad58061df41ab938755ceb736edc57adca2bd9924  Driver_14_Test_Long_Sequence.sf2  6368
5e9b81ddea85db71ea1fdd8eaa8bb3e0ae2caefd0c044eda5b9fd8e920863efa  Driver_14_Test_Medieval.sf2  6066
f87759a53ef9358f610003cbb512fee164571a8c3ce8e51d20f61691ab20e75e  Driver_15_Test_Mood.sf2  10038
50c51f3c63721612b9b02544bd4b4d79c12b0a3af9357bed807ff77801601746  Driver_16_Test_Busy.sf2  6438
35eea0e33a36337663180c3d007c248d6d58ba850af84110d8ce90e21bc87af3  Drum_em.sf2  8742
af01ee43f9b1d481b36fabb76a321e2a58f9074a9c20053f75bdcfc2a02b8427  Eastend.sf2  19732
8e178742ca057d67167c652c08c199dce4613f6d0a5a76262150ff6785febadf  ECM_Matrix.sf2  15965
e43b44fd91676656bee180dfca7b4d8fdb4ea0b2cd73dee55899e09c96fae9d7  Edie_Ball.sf2  60512
4e208e6bceba10750034e4720b9d0eab1b335e761de3e1ac46cbb3be70b6125b  Exorcist_preview.sf2  41300
db3faff67b873508bdae85b592bdbb81dc9e99cd38dc636835cc463157db9a06  Expand_Side_1.sf2  14399
4987e9cfc7aa26ab4895ecc59f4951ee3ce16cfd8ef61427003c47f63a785c02  F_Thingies.sf2  8178
53c4f09f2afba13f6c195f75522933a93c0063ce53245390f43df6add8f9e56b  Fairlightz.sf2  5563
dc9b8293aa4ecf765d5debc5f3d28fffc10c167120c3076ac394a10361da0b7f  Fairly_Green.sf2  9257
f0e6d1a030b8b3ce38ed3b098dab351f405231ab21bae581e9cffb27074e8fe9  Farfisa.sf2  11651
0360f389e4ceccfbe3fd8df660b1f9be87bec565e26b7413612faaeaf4d39e5b  Fast_Stuff_1.sf2  7969
cd12e7e99906f3020b6876e5edfb8d93c05ffb787a2ca16b6dd26b06ec11fc64  Fight_TST_003.sf2  51722
5b8b3dae6a4c3df69d2274f285748d9d63b00e7d4fe6a805d44a0742e02bda07  Fight_TST_II.sf2  7402
ccdc00028509a6897aa3af8d28f43a74e8bb0f640980aa9d5677f1aa942cfb78  First_Tune.sf2  4810
ea96cc3c7cdf8f9b49abe47be27b94950070edd1f07e0146065f99d7fe0087b2  Flappy_Hero_March.sf2  9429
89db76d582aa9196555b82f936aff18ba2a2ca0dd176abf8ab11f8daba40583e  Flintstones.sf2  48340
d70923831b5539c259e4d2a447051532be0da58ad42e3a6f2dcf626e93a3ce30  Force_Tune.sf2  8224
47aae967c2536b34370afe028fe7786eb428127ae9227412f13527094d94794a  Freeze.sf2  18887
2214e9295f147667f7e3c27c274e34ba0950fdf1667ecc4ab54382b7918eead2  Funk_Off.sf2  20400
6b22b76073694b46c1eb7cfb623e04be29e086ca4cab5e5bf8c2a76dd17700eb  Galax_it_y.sf2  5519
e75829a76fb65ff3e76f3a9ced80beac074cfa911ec225d0e6e3f0e27f20c15a  Galaxylogo.sf2  5345
c713048cd5dd4142922dc0e43e2d70930c14d83eed49c8df4dd4d8e0104346ae  Galway_One.sf2  51762
0fa02f149300a3b91706e4cf692bf41c1e6e4a0345ca23025453be779d24dc5a  Gametune_1.sf2  8234
5c75785ac6ed7d3b5cf374278e305b7431a2b4c3877095a888be36701d8e443e  Genesis.sf2  18792
748d6452885165b96f28bd3586e8adb5ab7026bc6a870fbdb4d9dc5af8c99368  German_Foot.sf2  9790
28bf15d1ed6d1720f3fcb70e7913d75302d9ee109214fcaafa07591095aa0277  Ghosts.sf2  19260
7f6c785df30a2f26ecea2647b0819756f78e0d7c9f8335efb65609110efbea62  Girl_N_Guy.sf2  19086
7bb8076d7f77c90b48781e8397f27953e76fe01997734e930a4450a136552cc5  Groovy.sf2  19492
49ba9d6d5f25a3daa8a00706efa6c16ddb0bb8ce324d6922db449cb9bf0e681c  Hall_of_Fame.sf2  52691
d2da06105b813470fc7ea736a5942752bdd8bbf51cc1224e04b23aaef91eaba9  Hand_Interludes_Side_1.sf2  5938
d74d2301384fd3399cfaf320751cf290f513a651801d802048a95f162c23c6af  Hand_Interludes_Side_2.sf2  6450
a89a9206ad664c5d9a525cac32fb648fd6c7ec6f1f97c925ce190b36d2633d2b  Hand_Interludes_Side_3.sf2  5938
8a9e52b9d75343afd212d52fa664752249527c97a43097bd112fa1ab8b912613  Happy_Birthday.sf2  13149
6187e02ea94c711c77bca6c779eeaff82217a0059bb9b8e6048b1db0cef2d2db  Happy_Birthday_v2.sf2  10277
a2aa97a8c36a410f4ccc3d8b6c03ff5169d5e035a2fa420bb85ac998fd762aa4  Hawalt_50-Meyer.sf2  7545
be87ed00ebe1967191db4180943a7f66fff4c216a1b49c6231c024dc0a0a4c1e  Heart_Beat.sf2  6112
af2c9511ef1b0918c04f324fae7f28ad1173fff9f948557b615db76f028a7f35  Heaven.sf2  6787
4a5370256dd5425b01a7fbc81eb4b41acdbf8cb95958a4e7ce68a3688fba0038  Highscore.sf2  18864
ff3aa9f4412f103b2db1bd06c3b28592538c3aced2c27e58994d1aa6aba9eecf  Hoopsidasies.sf2  5100
059e7cc13ae358bdda64370e46588966ab5dba5fb6fba4e60df0b89e6226ccbd  I_Have_Extended_Intros.sf2  50564
666e140db255d89b43b7360f92427286556a42874cd29e3ff48c8ee8f92cc8ae  I_Have_Intros.sf2  7820
32ce93b9ae3132958d7a15dbb060ccf04c3a708da6ea4ff8dcec6661934c8b09  I_Wanna_Dance_With.sf2  6426
ec564d63dd372804fd029288a8fbc3e2f13039fb013f33737622cdc0eb4499ed  IAME.sf2  9831
23b5e5d4d4d873d3747b96595ddb4890f813252e14d9a2df26de6a9443a8a753  ICC2019_Intro.sf2  7941
6da830c8c25ddb05b819f84d53750165665c2205cb3cbb02484b47367133d32d  Ikari_Intro.sf2  5409
c92e8d903856c50d2463ae5788eb410202eed50c74862fce9ef8e4d668e54a6e  Ikari_Intro_Song.sf2  5092
52b70e9c90bf94cd26941f2b7e4d43517bcd6c9fa11c4ac699f996f2c442b5a7  Ikari_Tune.sf2  18855
6132b6261622ee2095d9e074a65a2e74bcc6151495f15fb44a480040f4b9c8e3  Imaginary_Game.sf2  7388
69fa2493d42f74ca515f5b598a12b82c94be8697cd33814f0a367dbfdc355c72  Intro_001.sf2  5746
ee6a7412d77b787e184c7803f9fee63a15dec26b3b316c2a4ec124925d630580  Intro_2.sf2  17790
c4f9e0a75cd9e7af4104fff35a77ecb782c0d10ee71e664dae2d2767532f203e  Intro_3.sf2  18842
ed670c1c8089133a9814e471753646c84ba7a77e9b89cc882ad1aad842812937  Intro_4.sf2  25359
5db5885e5b9f112bef7f7c5fbc132cf7cd17a2d50bf9d1f667b69f460a74132f  Introtune.sf2  5173
90c520e813b3977698872c268bc9b85f1a033bd7269cc104a26d93340f07ba9e  Its_Funky.sf2  19878
ce62bab987a9d8d5f3226ad79aa6d23f083383df1afd7fc019522b063375e3c8  James_Bond_Theme_Remix.sf2  5252
2bcf998e91c4fc0899a37ecd15d292cf62509255bbe10e55d3e1aa446de41edb  Jammin_Out.sf2  51761
fa0777f920d01251a37365e4e5fb19b2994ef5a0fa109ef791c1cbd2a508fb4e  Jarre_Mix.sf2  9001
adccb274c290707ce44ed9218f5c6fc689f838039897e9e8906df7ef04620d23  JB_Go_Home.sf2  8991
12c8b5fc9cd37b607cdfa588bb73332539a1b72390c97d50978bad2d98a2d998  Jean_Michel_Jarre.sf2  51728
4edddf5942a093de0f645dfd5b2f8ce0a77d6dce018057946eb63162cf7e2dab  Jean_Milax_Jarre.sf2  51727
01ac31f346301653b1fcd993fe61e20b0f5722d52722de38fa90245d282b993b  Jewels.sf2  60877
46403e9565818dfb48515c2343c319311b54960553e17bd80e4999c1a29d0c6a  Jingles.sf2  51748
8b2add5270edfd5252b07f9bcc38ed7042d3ea5fac3e188a5450e43a3f08b74f  Joe_Gunn.sf2  46051
f2af36e30aa65d7566b6b988b829d098a508854a1cba2ec5a6d796905de69f5f  Joe_Gunn_Extras.sf2  13717
67bb0431834444e5a917bfe5a4f6fedc163c391c2bf1c9446e0511eeb43bf67a  Junglerock.sf2  6591
ad20f124a973f70829396d70503ab19f690cda62137146ebb5d8ab90cf74eeb6  Junior.sf2  14930
7dd5abf62d094f75411f2574303185d342c7bb9f2499d4174218f24d87ccbee6  Jupiter.sf2  60439
9e8755ebd7be770a4db67c602c907974fa9a33260c1079c9eff16260f3fd9bbc  Just_So_Cool.sf2  6264
163f795e6e1b369af9f39b0b1c4a47c19298ba6bf7f14490236e79833a4b0e9a  Kaffe_and_Te.sf2  6743
4c46754cef8f588bcf60e0215cc555d7ec7b68c6a10a1d6aed6e353fae8ea5dc  Karate_Giz.sf2  6657
39f6f212f3a85670aa51e5516a51d16233acdb5345316e2810b584119bc8e108  Kick_Ass.sf2  6855
8be8d23311de7f6138e8869b200569a32780e01dcfbbce0650d4c501695defd5  Knocked_Down.sf2  51758
90226cea7c49f8618c194d568d750cf76ed4e3c23d2f3fcd728df7cb9341d8a4  Knocked_Up.sf2  51754
86a3d501bf507dbbb0386a5333cf4cc839d801c0a04cde8864023a40eb83312d  L_Samba.sf2  6317
254a31f27221c8ebf82737ade35d2c65636a645a5ffcc06082a4805f63a8f7d1  Lady_Is_a_Trap.sf2  20636
965c8fec5dd42a28f6b71e92b33b3cc8c2a4e4485f6b72c4755f9e15c47c3cd2  Lame_and_Old.sf2  5817
aefc5a8436bc3ea2e3f47744b43b07c9133669714a6b7fca15ea123b33024759  Last_Space_Fighter.sf2  5939
b4f31fcd7852063ecaede423fa581403b19be07bd2cc94d0e025262f09f1ea41  Lax_Selector.sf2  4821
7c6ab2af348385f53d0b1060e8edd196811d7eb1df1aebd630ef6fe300d7359c  Laxace.sf2  5751
9853f8d56a438c79af1d4cef03ee5bdf7165e02fd6560716bb5c4368bad917c1  Lethal_Display_6_End.sf2  12126
b882832d9a9d84594fda9c40843d5441c76d19869198b12ce208b4c2102e96d0  Magnetic.sf2  7756
37c157efb7d337c5cee8f04a7e2e08901f570099923f4877e496103566e57647  Manimalize.sf2  5887
960c0c25def62163a508ec8d62acc870c31e8c46ed82ccd03469d4f6ee2d89bb  Mikuk.sf2  47318
7f929a8352c08fcef80c5218bba96c2cc503fa5dcb5c90997efb7a7f6eb254ad  Min_Axel_F.sf2  6598
18c06cc1a3abdaa7c782589a2050bc1ea04218aee31d267d6cf8db95d50f561a  Mission_X.sf2  51710
9c40565fa8b98d32daff18cdf57bedf97f84f6185f0fbddebdea690831a80a32  Mojo_Outro.sf2  28498
e23d47a5ce06f048c455c78a9463c3f1cfa5d8bc788c09603fc2e2eb78c23559  Musique.sf2  51647
aeac48933a1439acc08d1038441a7faded0c6889b1ede73287fa479eb3c9c6de  Nefarious.sf2  59912
c87d2fd9848a9367af0f704d40558087ddedf52f5f8a639cb9a026de34718b5b  Nefarious_v2.sf2  10793
042b19f045c3279a64bff345dc579e6d0fd95f5e4dba7cbc174ebf27109ef557  No_Creative_Fuel.sf2  9902
a71ad9910d75d33017d24e6a85ef5086ef2fd1c60ee4137a769977a83453575b  No_Credits.sf2  11241
9ae540f0372984929986219a42678378b9f7bd36ca1a1fced489482d3391c113  No_Nothing.sf2  59292
6dbbb25fbbfb6d231fc9b0f188d1634c69ed57daf2161db8db397d33d51f6935  No_System-Part_2.sf2  7216
50b49c1e088670cae1a61c00a8fbbf23fa84009b8d826e676728ef85c99268fe  No_Way.sf2  51843
4d48e1917ff7bc1aafaea6bad4f01ee459de46135623dd0635f07157fdcb8de1  Nowhere.sf2  7594
bf2050b5b4041c9e60c77cc8dc161dc67ff3809bdc750341f9753754b0b8b620  Numb.sf2  45908
45f15c5de005770c0b4bbcc07d11f2e5b1de9cb304e75b4aadb2cf08efeac1a6  O-solo-mip.sf2  6065
1fc7a8d38f9776d0cc9ff6a3a52e44dbb626af5740d084ff92cd28a4e474a5f7  Ocean_Reloaded.sf2  10962
645573fdc5ecf2e9e5b04663e5a02ca1d61817b162bdcadb663bce330d0c8f01  Odd_Sideways.sf2  8762
d237d7c65c660d31740b8e8e0cf839939a58f340063c2e7d3af8e84c93071198  Oeble_Goeble.sf2  19836
7e3eb8b09c8f7c96b393e8210a84a916ea95f76c7510a23758e93da868bac848  Oh_That.sf2  19474
4b28ae57d44c2ce794ec965c6e6b47adabcf2f788d617cab7e4d1ff8ff8d5fc2  On_One.sf2  37159
ea2465b4bed28fb2600c24d4a907d450bc6ba62e38c9cd7068cc6dacd405b21e  One_Note_Elevator_Music.sf2  10822
cdfd1dbc955169131478d6ec3dbaef96e16ba18585d1fc313f69432d7c5a93fd  Only_Love.sf2  7658
3c203aba06397bc91ffd97a48fd19accce415a455846202625579ee08c19062f  Opxiz.sf2  7081
c1a0cc649a4a658f753eb5cd5bd510296e46736c9f7bb2884c696a98e78209fa  Patterns.sf2  29744
7a38385c28ff8e1d6800cf981148a024f9a1e3648276f449fc746fedb8b53bbc  Pedestrian.sf2  8233
699c02b9b4166ea9b7a7acfa042e178ef9afe733334eef56b548e23e277fb86c  Phoenix_Code_Intro.sf2  7976
4f764134342b8191c01aac8343b9bcf3a35119155b1fcf6838693640013b6016  Phoenix_Code_Turn_Disk.sf2  7486
8b063e2d985010409a2c494739d507da1c4a3d607a935695dc459c559f6dba07  Piano_Intro.sf2  52065
11a5779761dbfe4ba06c300d81a67f52a3fca0d17b6d409689b0d4ff051eaee5  Pige_Bluse.sf2  19405
1ae8b574290abad27d56d3f7ca0351ce71f4eba6a9b7ee5d0c1613018d84b936  Pink_Panther.sf2  5243
b6a6f83ec6000ce9a154c1fad14ccc19b0228d9b453a003ffdbd83838a0654f5  Pipe_and_Pearls.sf2  48681
19bd82a7903c7330a7de518cd3d4a298669ce47e870f2104bc76d1e9cf079c3c  Pocket_Freeze.sf2  23093
7055ca6a87c7e0e915389b9f49dff4c404df3a90d7c80f8f91f576c378732d5b  Poor_Disco.sf2  17843
c32924c644457437e5723c112420803c03a5e9abae4609b52f1565a1d42b8e50  Pow-Crack.sf2  9000
145161c76cbf073f481ea21df29341a299000653710eaeda0b7e6889bbc65661  Proven_Notes.sf2  7171
056d46627387c88f262ca390dcff8f92f3c1a4e6299b037a831dc6a75f937c52  Public_Enemy.sf2  5545
b141d36ca0d689bbe3176a4efedb59bfbbbe333ae4d082385ecb38d76cf0f3fb  Quanswer_15.sf2  8427
d36e5df66a0aa48fcb2bbd62d1f939fb9fdf22b2226756fcf6c05fefc63b9e24  Quark.sf2  51749
1fbbdf061a1eb5ce33a15fe7f833b464663fa4d67391e375075c4183102c9185  Quit_Wizax.sf2  51756
f49c26760ee5f26bce1955c7822a0f0e44c92f5f6034de0eb9b55cb890ab10c0  Racer.sf2  61179
b4450d32339c8c62717764a3489b02b3bd7b4cf36ecc4abd30818fad77e20532  Realistic_Crap.sf2  7744
6f7d56a3070bc9a16813c137a02348c3bd37ff02de3223a314786e160e06801a  Repeat_me.sf2  3823
d6fbb150d1f6eb15dda5ffcbbd829cf641f077797e0ec5eec8b255562a880b15  Rudolph_in_the_Kitchen.sf2  9011
b49bbbeabdaf06f963aec92d9ca252819e6d86fe97e4e0358a515cbf3a6b9a05  Ruff_Scale.sf2  51853
4a0f645c468b653dad879a67b98db1a4577e6903ce64ba9339d1f0b0edeed2e5  S2-Tune.sf2  8230
89fa5c076f23050ea6a10fb51cb86e06f88af54cfc8a67bb292627cf546da411  S2_Xerxes.sf2  19443
912a8409f4f632b1c1a0b08e854a482f34a7b94006dbd4b9cfd2d2f9df860122  S_Intro.sf2  18752
ba641ce025316c1b3dc4f359b411ab066a9fcd4963eca598e73ccac1b1970ab8  Sad_Song.sf2  8743
18b8a27d29aefd62bb0044f509fc7f4667a9f7bbab3b6f1c7c885e55d3ed5ec7  Sanxion_Loader_Remix.sf2  51767
71d131b20e5557ca9b8daa212c6a1bb5d92da45aaca136cbe4d0f07be3ce1bb2  Sax_Nuddle.sf2  19986
a2a168dfb0692882610575c5abbf6f5bb6420b52c557ad67ec233369eb75d2e2  Schmold_Skool.sf2  11150
cbab1b1f35837ddcc607c5f17d28386918c915b1732f4fed0754ef634ee80a62  Screw_Normal.sf2  15935
8b81800a02ce18ffdcdc0cfc925eaf2979110bbfcd96b1ddf9aedff0f5ccc4d2  Sejle_Op.sf2  19122
353f1773b1cbdfcedf34ec3d76c8f139abb60642bf4f9a69d2bc428ddba2719f  Shakin.sf2  8230
9cfd507408ad1488f549b8b8173efb24b60838c20e7b0685206eb1c06d1345d5  She_Broke_Up.sf2  9003
915e5b1cfb2380b4058413d6187e244547cc546f8abab385e260bb11b4e9a400  Shit.sf2  11043
69ed88e1172434d0015825014f078813d0d1e5739e95b15f16f23f6058748875  Shit_2.sf2  51703
af7bd12fa66cff251aafadaf63e90e0f6289650b84a915f9a2b2aa5a3b7d3c6c  Short_but_Urgent.sf2  5524
028d121ff0b702a865f71f4f01515ae5172bef8bb6b1db5786f00ee2ead88bf4  Short_Tune.sf2  5336
5ff81c6d422293a5e2ced495c3b1b6fdb597d3df5abada0ad5664d74617f2c09  SID_Factory_demo_tune_1.sf2  8381
137cf7cdb9b5e53270d1196fb283341b92e0ad8af9f723f2d794aaaa91ed31bf  SID_Factory_demo_tune_2.sf2  7303
5b94d2f9ce90c51dd1fda3f84f46a238b30baec40829d5711e065a05ed20aacb  SID_Factory_demo_tune_3.sf2  6427
62538d3cc07d24e5befe142b0313c02cdf26dcdaed5bd36a2b3d3b89fdb170db  SID_Factory_demo_tune_4.sf2  8371
bddd60fdb4ec4fb5fb5a141969139e7144aabd365a38a6fa5d825992b0be4c0e  Sigma_Logo.sf2  5283
7a2012106dc609f24b8297d921c250adbea794b4f20b98450ea1852ab6e01c23  Slash_with_Ash_commercial.sf2  6454
8cabf5b441a3dee276309661c57ca3c5c6d3d5f6cae2e23837c67d9a0921aa30  Slash_with_Ash_game.sf2  7732
3bec05dfe64b3e21fde1d13f634af2c47f4a187d7fe6243d37a3897a2793eb54  Something.sf2  8451
7d23bde1b019cc4dd6bc2e53996e0a54e24fb4819d396a3d0b2f10bc6dae596e  Sound_Simulation.sf2  7360
6dd33c4afd7651d36347c9752e696ffefaa9ffb56c8c1b64845d38f5e32c404c  Space_Game.sf2  51720
0dec46565fde913a489f0e40dd84beb43d9f35f135117f9832cacdeae4d3e11d  Spacy_Level.sf2  19385
d1e478b1485eea867850581659543a1a8e6bc1535e50dbbda3c1f87a8711fcf1  Squamp.sf2  40603
91824107c100b2c32db23563b0488f6ad73e944660a43231d9817f153c27182a  Star_Dream.sf2  18801
db16f17a52fe7b4c57d50244f54405a1a81415029ed90b8694a61966c18f2891  Star_Wars.sf2  8222
d63dd4d0b9c311f35f513f8677fff1edd6bd99e16829a2753200f46b9ef03e8a  Stinsens_Last_Night_of_89.sf2  13409
ad5a2b0e03ac2369036106eb1da9500500d974b8e245a6d679ec63d90ad96621  Stormlord_2.sf2  48196
6251639e5789acdf8ba1c06c19f66d37902d53c8344d50ebb138cf33c02982a5  Stormlord_II-Title_and_Levels.sf2  30277
d7c73568c6e0fc4dee314917bf08c736f5116f950b46829d507948d725de6e5d  Strange_Blemish.sf2  23097
d4fbfa108f3b4984b2614430f816b9253a21164a32a540709b1a734a1eff03fc  String.sf2  9130
dd42f09707aaf4052f02d5370f72bcce5fcdd3b49def5c38e21ddc26f7d572a9  Stupee-DOS.sf2  60609
6425ebcbcdbe7a6c401c0aa2bbbe2b77f5f4875fe9e3bef4c38ba343584b074b  Sunshine.sf2  20174
